primary_key,OUTPUT:answer1,OUTPUT:confidence1,ai_dec,agreement1,cw_acc1,ground_truth,context
08b381a0fa5f6835ec122426032b3243,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,loan
139ad0c354ff8a0390acbfebed1ce9da,1,5.0,1.0,1.0,0.0,0.0,loan
189fab19b24be0db3cbdfb37151aacbb,1,5.0,1.0,1.0,0.0,0.0,loan
1e26a8e9c1354417b83bb49820505811,1,4.0,0.0,0.0,0.0,0.0,loan
2d72e9d005614979e7e52ffd30cd5437,0,6.0,0.0,1.0,0.0,1.0,loan
3e22f87dd8e6d99a6c33a9d8cce233a2,1,6.0,1.0,1.0,1.0,1.0,loan
3f9b7f4f6f804f0c6fbcb7ed3f66b836,1,7.0,0.0,0.0,0.0,0.0,loan
3fbc92ff6b5af62c3b953c5d807f16ae,1,1.0,1.0,1.0,0.0,0.0,loan
44d034a4c4a3a986bb263d4d4bf32af6,1,5.0,1.0,1.0,0.0,0.0,loan
51964b55a0bc4b944851867308a18478,0,5.0,1.0,0.0,0.0,1.0,loan
587681033b9490ef5c68ffdde95f2e0b,1,4.0,1.0,1.0,1.0,1.0,loan
5e0d15a9f26e60a4be169efa80f91ad3,0,4.0,0.0,1.0,1.0,0.0,loan
6348cd575921e77e8abc8b580030b265,0,6.0,1.0,0.0,1.0,0.0,loan
654e43452f1db02435498117826b88d9,1,3.0,0.0,0.0,1.0,1.0,loan
686f6239d992bc9fd1a959ac6855a04c,1,6.0,0.0,0.0,0.0,0.0,loan
6c6fad282ecd37787bdbfbd95d8e57a9,1,6.0,1.0,1.0,1.0,1.0,loan
7fb1ed8980b588a153eaf3ee1ced51a8,0,6.0,1.0,0.0,1.0,0.0,loan
887aed643646dfb3c599924f3d50e21b,0,4.0,1.0,0.0,1.0,0.0,loan
8bdd49f1a752d4772cdd246852c77223,0,5.0,1.0,0.0,1.0,0.0,loan
8fbe72651ceb0df1b0b1e2e7d68b910a,1,4.0,1.0,1.0,1.0,1.0,loan
91a2786f8bb9c9055a2762fcc87356c9,0,4.5,1.0,0.0,0.0,0.5,loan
91a96e03d75a8dc188b3c998353a0f2f,1,7.0,0.0,0.0,0.0,0.0,loan
9a75226f7d12d7d900bcafe3b65de1e7,1,7.0,1.0,1.0,0.0,0.0,loan
9fe03c7d458f3d5950a0e89b2de90799,1,2.0,0.0,0.0,1.0,1.0,loan
a0bfe631db528f0664ecacc186b57124,0,5.0,1.0,0.0,1.0,0.0,loan
ab7ef913566e19adbfbe51070582248f,1,5.0,1.0,1.0,0.0,0.0,loan
b9a84f9b5fe48feb13ca33acd1ec1b1c,1,4.666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,loan
be85f2928df1008813594edfa4b5fda2,0,4.0,0.0,1.0,1.0,0.0,loan
c0278bdfdbb88139e7813d886d2db32f,1,3.0,1.0,1.0,1.0,1.0,loan
c32ed7a0904dc57449bd4a2a61d69e4b,0,5.0,1.0,0.0,0.0,1.0,loan
c3ea4243e476b6726a9ee80f4d03c5b9,1,5.0,0.0,0.0,0.0,0.0,loan
c8f6d558a808777c49c35192f91ffb4a,0,5.0,1.0,0.0,1.0,0.0,loan
cfc6988e2d8b5ef6d5dd11f5bfc8007c,0,5.0,1.0,0.0,0.0,1.0,loan
d7b7f11ee70264bf8fd0d5dc7815d6ad,1,3.6666666666666665,1.0,0.6666666666666666,1.0,1.0,loan
da88fed8770d41d80fbe28ffc35ccd62,0,6.0,0.0,1.0,0.0,1.0,loan
dd46b673a25963ad9e0cf150dc4e2391,0,5.5,0.5,1.0,0.0,0.5,loan
eb62744d3cae155576936a9928a55b53,1,4.0,0.0,0.0,1.0,1.0,loan
ebd7e042ca5c5ba4becf5394463bda8d,1,6.0,1.0,1.0,0.0,0.0,loan
ef2e5538f7d1870dda140d81314b7094,0,5.0,0.0,1.0,0.0,1.0,loan
f1afd674429979c4d0dc5aaf33284c64,0,7.0,1.0,0.0,1.0,0.0,loan
f466e9cf524033b905c842eccc3019cf,1,4.666666666666667,0.6666666666666666,1.0,0.0,0.3333333333333333,loan
f7dc3f8bbfbf0ca5582c5ca067fd917b,0,6.0,1.0,0.0,0.0,1.0,loan
f878b7c53941bae8e2dad5ce1734de8d,1,1.0,0.0,0.0,1.0,1.0,loan
ffdea5ab195189149c33f0dfad983307,0,4.5,0.0,0.5,0.0,0.5,loan
